retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,operating_margin,sales_method
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.0,900.0,450000.0,157500.0,35.0,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,850.0,425000.0,148750.0,35.0,Outlet
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60.0,875.0,525000.0,157500.0,30.0,Outlet
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65.0,1000.0,650000.0,162500.0,25.0,Outlet
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.0,1250.0,750000.0,375000.0,50.0,Outlet
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000.0,550000.0,165000.0,30.0,Outlet
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.0,925.0,462500.0,161875.0,35.0,Outlet
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,450000.0,157500.0,35.0,Outlet
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000.0,162000.0,30.0,Outlet
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65.0,1050.0,682500.0,170625.0,25.0,Outlet
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.0,1275.0,765000.0,382500.0,50.0,Outlet
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025.0,563750.0,169125.0,30.0,Outlet
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.0,950.0,475000.0,166250.0,35.0,Outlet
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,450000.0,157500.0,35.0,Outlet
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,60.0,925.0,555000.0,166500.0,30.0,Outlet
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,65.0,1100.0,715000.0,178750.0,25.0,Outlet
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.0,1250.0,750000.0,375000.0,50.0,Outlet
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025.0,563750.0,169125.0,30.0,Outlet
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.0,950.0,475000.0,166250.0,35.0,Outlet
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.0,925.0,462500.0,161875.0,35.0,Outlet
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000.0,162000.0,30.0,Outlet
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,65.0,1075.0,698750.0,174688.0,25.0,Outlet
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.0,1200.0,720000.0,360000.0,50.0,Outlet
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000.0,550000.0,165000.0,30.0,Outlet
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.0,925.0,462500.0,161875.0,35.0,Outlet
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,450000.0,157500.0,35.0,Outlet
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000.0,162000.0,30.0,Outlet
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,65.0,1000.0,650000.0,162500.0,25.0,Outlet
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,65.0,875.0,568750.0,170625.0,30.0,Outlet
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,70.0,1000.0,700000.0,175000.0,25.0,Outlet
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.0,1150.0,747500.0,373750.0,50.0,Outlet
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.0,975.0,536250.0,160875.0,30.0,Outlet
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.0,920.0,506000.0,177100.0,35.0,Outlet
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.0,900.0,495000.0,173250.0,35.0,Outlet
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,65.0,875.0,568750.0,170625.0,30.0,Outlet
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,70.0,975.0,682500.0,170625.0,25.0,Outlet
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.0,1200.0,780000.0,390000.0,50.0,Outlet
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000.0,550000.0,165000.0,30.0,Outlet
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.0,950.0,522500.0,182875.0,35.0,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.0,900.0,495000.0,173250.0,35.0,Outlet
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,65.0,900.0,585000.0,175500.0,30.0,Outlet
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,70.0,1000.0,700000.0,175000.0,25.0,Outlet
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,900.0,225000.0,78750.0,35.0,Outlet
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900.0,315000.0,110250.0,35.0,Outlet
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.0,700.0,245000.0,85750.0,35.0,Outlet
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.0,700.0,245000.0,110250.0,45.0,Outlet
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,40.0,550.0,220000.0,66000.0,30.0,Outlet
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,35.0,700.0,245000.0,122500.0,50.0,Outlet
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.0,850.0,212500.0,74375.0,35.0,Outlet
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.0,850.0,297500.0,104125.0,35.0,Outlet
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,35.0,675.0,236250.0,82688.0,35.0,Outlet
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.0,625.0,218750.0,98438.0,45.0,Outlet
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,40.0,500.0,200000.0,60000.0,30.0,Outlet
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,35.0,700.0,245000.0,122500.0,50.0,Outlet
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.0,875.0,262500.0,91875.0,35.0,Outlet
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40.0,875.0,350000.0,122500.0,35.0,Outlet
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.0,700.0,245000.0,85750.0,35.0,Outlet
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.0,600.0,240000.0,108000.0,45.0,Outlet
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,45.0,500.0,225000.0,67500.0,30.0,Outlet
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,40.0,650.0,260000.0,130000.0,50.0,Outlet
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.0,900.0,270000.0,94500.0,35.0,Outlet
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.0,900.0,360000.0,126000.0,35.0,Outlet
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.0,725.0,253750.0,88813.0,35.0,Outlet
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40.0,625.0,250000.0,112500.0,45.0,Outlet
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,45.0,525.0,236250.0,70875.0,30.0,Outlet
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,40.0,800.0,320000.0,160000.0,50.0,Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.0,925.0,277500.0,97125.0,35.0,Outlet
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.0,925.0,370000.0,129500.0,35.0,Outlet
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.0,775.0,271250.0,94938.0,35.0,Outlet
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.0,700.0,280000.0,126000.0,45.0,Outlet
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,45.0,600.0,270000.0,81000.0,30.0,Outlet
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,40.0,950.0,380000.0,190000.0,50.0,Outlet
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.0,950.0,380000.0,133000.0,35.0,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,427500.0,149625.0,35.0,Outlet
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,40.0,800.0,320000.0,112000.0,35.0,Outlet
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40.0,750.0,300000.0,135000.0,45.0,Outlet
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,45.0,650.0,292500.0,87750.0,30.0,Outlet
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,50.0,1000.0,500000.0,250000.0,50.0,Outlet
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,40.0,950.0,380000.0,133000.0,35.0,Outlet
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,427500.0,149625.0,35.0,Outlet
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,40.0,1100.0,440000.0,154000.0,35.0,Outlet
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40.0,700.0,280000.0,126000.0,45.0,Outlet
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,45.0,700.0,315000.0,94500.0,30.0,Outlet
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,50.0,975.0,487500.0,243750.0,50.0,Outlet
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,40.0,925.0,370000.0,129500.0,35.0,Outlet
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45.0,925.0,416250.0,145688.0,35.0,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,40.0,1100.0,440000.0,154000.0,35.0,Outlet
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40.0,650.0,260000.0,117000.0,45.0,Outlet
Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,45.0,650.0,292500.0,87750.0,30.0,Outlet
Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,50.0,900.0,450000.0,225000.0,50.0,Outlet
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,45.0,850.0,382500.0,133875.0,35.0,Outlet
Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45.0,850.0,382500.0,133875.0,35.0,Outlet
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,50.0,900.0,450000.0,157500.0,35.0,Outlet
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50.0,625.0,312500.0,140625.0,45.0,Outlet
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,45.0,625.0,281250.0,84375.0,30.0,Outlet
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,55.0,850.0,467500.0,233750.0,50.0,Outlet
Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,45.0,800.0,360000.0,126000.0,35.0,Outlet
Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45.0,800.0,360000.0,126000.0,35.0,Outlet
Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,50.0,750.0,375000.0,131250.0,35.0,Outlet
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50.0,600.0,300000.0,135000.0,45.0,Outlet
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,45.0,575.0,258750.0,77625.0,30.0,Outlet
Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,55.0,750.0,412500.0,206250.0,50.0,Outlet
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,45.0,900.0,405000.0,141750.0,35.0,Outlet
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45.0,900.0,405000.0,141750.0,35.0,Outlet
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,50.0,825.0,412500.0,144375.0,35.0,Outlet
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50.0,675.0,337500.0,151875.0,45.0,Outlet
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,45.0,650.0,292500.0,87750.0,30.0,Outlet
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,55.0,850.0,467500.0,233750.0,50.0,Outlet
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,45.0,950.0,427500.0,149625.0,35.0,Outlet
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,427500.0,149625.0,35.0,Outlet
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,50.0,850.0,425000.0,148750.0,35.0,Outlet
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50.0,700.0,350000.0,157500.0,45.0,Outlet
Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,45.0,650.0,292500.0,87750.0,30.0,Outlet
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,55.0,900.0,495000.0,247500.0,50.0,Outlet
West Gear,1128299,2020-11-01,South,Texas,Houston,Men's Street Footwear,40.0,775.0,310000.0,108500.0,35.0,Outlet
West Gear,1128299,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50.0,775.0,387500.0,77500.0,20.0,Outlet
West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,50.0,775.0,387500.0,135625.0,35.0,Outlet
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50.0,625.0,312500.0,93750.0,30.0,Outlet
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,55.0,575.0,316250.0,158125.0,50.0,Outlet
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,50.0,775.0,387500.0,58125.0,15.0,Outlet
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,40.0,825.0,330000.0,115500.0,35.0,Outlet
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50.0,725.0,362500.0,72500.0,20.0,Outlet
West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,50.0,725.0,362500.0,126875.0,35.0,Outlet
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50.0,575.0,287500.0,86250.0,30.0,Outlet
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,55.0,500.0,275000.0,137500.0,50.0,Outlet
West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,50.0,700.0,350000.0,52500.0,15.0,Outlet
West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,50.0,850.0,425000.0,148750.0,35.0,Outlet
West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60.0,700.0,420000.0,84000.0,20.0,Outlet
West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,60.0,700.0,420000.0,147000.0,35.0,Outlet
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60.0,600.0,360000.0,108000.0,30.0,Outlet
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,65.0,500.0,325000.0,162500.0,50.0,Outlet
West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,60.0,700.0,420000.0,63000.0,15.0,Outlet
West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,60.0,875.0,525000.0,183750.0,35.0,Outlet
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65.0,675.0,438750.0,87750.0,20.0,Outlet
West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,65.0,725.0,471250.0,164938.0,35.0,Outlet
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60.0,625.0,375000.0,112500.0,30.0,Outlet
West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,65.0,525.0,341250.0,170625.0,50.0,Outlet
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,80.0,700.0,560000.0,84000.0,15.0,Outlet
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,60.0,900.0,540000.0,216000.0,40.0,Outlet
West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65.0,750.0,487500.0,121875.0,25.0,Outlet
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,65.0,750.0,487500.0,195000.0,40.0,Outlet
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60.0,650.0,390000.0,136500.0,35.0,Outlet
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,65.0,550.0,357500.0,196625.0,55.0,Outlet
West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,80.0,725.0,580000.0,116000.0,20.0,Outlet
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,60.0,975.0,585000.0,234000.0,40.0,Outlet
West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65.0,825.0,536250.0,134063.0,25.0,Outlet
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,65.0,825.0,536250.0,214500.0,40.0,Outlet
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60.0,700.0,420000.0,147000.0,35.0,Outlet
West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,65.0,575.0,373750.0,205563.0,55.0,Outlet
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,80.0,875.0,700000.0,140000.0,20.0,Outlet
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,60.0,1025.0,615000.0,215250.0,35.0,Outlet
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65.0,875.0,568750.0,113750.0,20.0,Outlet
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,65.0,825.0,536250.0,187688.0,35.0,Outlet
West Gear,1128299,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60.0,725.0,435000.0,130500.0,30.0,Outlet
West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,65.0,775.0,503750.0,251875.0,50.0,Outlet
West Gear,1128299,2021-01-17,West,California,San Francisco,Women's Apparel,80.0,775.0,620000.0,93000.0,15.0,Outlet
West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,65.0,975.0,633750.0,221813.0,35.0,Outlet
West Gear,1128299,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,70.0,925.0,647500.0,129500.0,20.0,Outlet
West Gear,1128299,2021-01-20,West,California,San Francisco,Women's Street Footwear,65.0,800.0,520000.0,182000.0,35.0,Outlet
West Gear,1128299,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,65.0,750.0,487500.0,146250.0,30.0,Outlet
West Gear,1128299,2021-01-22,West,California,San Francisco,Men's Apparel,75.0,750.0,562500.0,281250.0,50.0,Outlet
West Gear,1128299,2021-01-23,West,California,San Francisco,Women's Apparel,80.0,725.0,580000.0,87000.0,15.0,Outlet
West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,55.0,925.0,508750.0,152625.0,30.0,Outlet
West Gear,1128299,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,60.0,925.0,555000.0,83250.0,15.0,Outlet
West Gear,1128299,2021-01-26,West,California,San Francisco,Women's Street Footwear,55.0,775.0,426250.0,127875.0,30.0,Outlet
West Gear,1128299,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,55.0,725.0,398750.0,99688.0,25.0,Outlet
West Gear,1128299,2021-01-28,West,California,San Francisco,Men's Apparel,65.0,725.0,471250.0,212063.0,45.0,Outlet
West Gear,1128299,2021-01-29,West,California,San Francisco,Women's Apparel,70.0,775.0,542500.0,54250.0,10.0,Outlet
West Gear,1128299,2021-01-30,West,California,San Francisco,Men's Street Footwear,55.0,875.0,481250.0,144375.0,30.0,Outlet
West Gear,1128299,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60.0,875.0,525000.0,78750.0,15.0,Outlet
West Gear,1128299,2021-02-01,West,California,San Francisco,Women's Street Footwear,55.0,700.0,385000.0,115500.0,30.0,Outlet
West Gear,1128299,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,55.0,675.0,371250.0,92813.0,25.0,Outlet
West Gear,1128299,2021-02-03,West,California,San Francisco,Men's Apparel,65.0,650.0,422500.0,190125.0,45.0,Outlet
West Gear,1128299,2021-02-04,West,California,San Francisco,Women's Apparel,70.0,700.0,490000.0,49000.0,10.0,Outlet
West Gear,1128299,2021-02-05,West,California,San Francisco,Men's Street Footwear,55.0,875.0,481250.0,144375.0,30.0,Outlet
West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,60.0,875.0,525000.0,78750.0,15.0,Outlet
West Gear,1128299,2021-02-07,West,California,San Francisco,Women's Street Footwear,55.0,725.0,398750.0,119625.0,30.0,Outlet
West Gear,1128299,2021-02-08,West,California,San Francisco,Women's Athletic Footwear,55.0,700.0,385000.0,96250.0,25.0,Outlet
West Gear,1128299,2021-02-09,West,California,San Francisco,Men's Apparel,65.0,650.0,422500.0,190125.0,45.0,Outlet
West Gear,1128299,2021-02-10,West,California,San Francisco,Women's Apparel,70.0,775.0,542500.0,54250.0,10.0,Outlet
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,55.0,975.0,536250.0,160875.0,30.0,Outlet
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,60.0,975.0,585000.0,87750.0,15.0,Outlet
West Gear,1128299,2021-02-13,West,California,San Francisco,Women's Street Footwear,55.0,775.0,426250.0,127875.0,30.0,Outlet
West Gear,1128299,2021-02-14,West,California,San Francisco,Women's Athletic Footwear,55.0,775.0,426250.0,106563.0,25.0,Outlet
West Gear,1128299,2021-02-15,West,California,San Francisco,Men's Apparel,65.0,700.0,455000.0,204750.0,45.0,Outlet
West Gear,1128299,2021-02-16,West,California,San Francisco,Women's Apparel,70.0,800.0,560000.0,56000.0,10.0,Outlet
Kohl's,1189833,2021-02-17,West,California,San Francisco,Men's Street Footwear,35.0,700.0,245000.0,98000.0,40.0,Outlet
Kohl's,1189833,2021-02-18,West,California,San Francisco,Men's Athletic Footwear,45.0,700.0,315000.0,78750.0,25.0,Outlet
Kohl's,1189833,2021-03-09,West,California,San Francisco,Women's Street Footwear,45.0,700.0,315000.0,126000.0,40.0,Outlet
Kohl's,1189833,2021-03-10,West,California,San Francisco,Women's Athletic Footwear,45.0,550.0,247500.0,86625.0,35.0,Outlet
